campaign,objective,lang_target,geo_target,budget_total_jpy,daily_jpy_approx,bid_strategy,max_cpv_jpy,video_url,ad_headline,ad_long_headline,ad_description,cta,audience,est_views_at_6cpv
SHIRO&PICO EP1 日本語 (ja),Video views (skippable in-stream + in-feed),ja,JP,3000,429,Max CPV,6,https://www.youtube.com/watch?v=udwgF7VCYI8,シロ&ピコ ゴーストハッカー,シロ&ピコ ゴーストハッカー — Ep.1,白帽ハッカーの少女と天才キッズの痛快サイバーアクション。第1話 無料公開中！,今すぐ見る,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 English (en),Video views (skippable in-stream + in-feed),en,"US,GB,CA,AU,IN,PH,SG,NG,ZA",3000,429,Max CPV,6,https://www.youtube.com/watch?v=saqUUncgXug,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,A white-hat hacker girl & a genius kid save the city. Learn real cyber-defense. Ep.1 free!,Watch now,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 Español (es),Video views (skippable in-stream + in-feed),es,"MX,ES,AR,CO,CL,PE,US",3000,429,Max CPV,6,https://www.youtube.com/watch?v=XcW6jYWC7co,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,Una hacker de sombrero blanco y un niño genio salvan la ciudad. ¡Ep.1 gratis!,Ver ahora,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 Français (fr),Video views (skippable in-stream + in-feed),fr,"FR,BE,CA,CH,MA,CI,SN",3000,429,Max CPV,6,https://www.youtube.com/watch?v=89QjHxLqTdk,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,Une hackeuse au chapeau blanc et un garçon génie sauvent la ville. Ép.1 gratuit !,Regarder,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 Português (pt),Video views (skippable in-stream + in-feed),pt,"BR,PT,AO,MZ",3000,429,Max CPV,6,https://www.youtube.com/watch?v=jvJcfv3n6N4,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,Uma hacker do bem e um menino gênio salvam a cidade. Ep.1 grátis!,Assista já,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 Deutsch (de),Video views (skippable in-stream + in-feed),de,"DE,AT,CH",3000,429,Max CPV,6,https://www.youtube.com/watch?v=HNLCZSjADdk,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,Ein White-Hat-Hacker-Mädchen & ein genialer Junge retten die Stadt. Folge 1 gratis!,Jetzt ansehen,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 中文 (zh),Video views (skippable in-stream + in-feed),zh_CN,"TW,HK,SG,MY",3000,429,Max CPV,6,https://www.youtube.com/watch?v=XBoFus3LXQs,SHIRO & PICO 鬼客骇客,SHIRO & PICO 鬼客骇客 — Ep.1,白帽黑客女孩与天才男孩拯救城市，学真实网络安全。第1集免费！,立即观看,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 हिन्दी (hi),Video views (skippable in-stream + in-feed),hi,IN,3000,429,Max CPV,6,https://www.youtube.com/watch?v=716fV2fh0WQ,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,एक white-hat hacker लड़की और जीनियस लड़का शहर बचाते हैं। भाग 1 मुफ़्त!,अभी देखें,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 বাংলা (bn),Video views (skippable in-stream + in-feed),bn,"BD,IN",3000,429,Max CPV,6,https://www.youtube.com/watch?v=1pCVGJfDzSI,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,একজন white-hat hacker মেয়ে আর জিনিয়াস ছেলে শহর বাঁচায়। পর্ব ১ ফ্রি!,এখনই দেখুন,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 தமிழ் (ta),Video views (skippable in-stream + in-feed),ta,"IN,LK,SG,MY",3000,429,Max CPV,6,https://www.youtube.com/watch?v=XolLQKbVgMc,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,ஒரு white-hat hacker பெண்ணும் மேதை சிறுவனும் நகரத்தைக் காப்பாற்றுகின்றனர். பகுதி 1 இலவசம்!,இப்போது பார்,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
SHIRO&PICO EP1 العربية (ar),Video views (skippable in-stream + in-feed),ar,"SA,AE,EG,QA,KW,JO,MA",3000,429,Max CPV,6,https://www.youtube.com/watch?v=60Rr2prF404,SHIRO & PICO — Ghost Hacker,SHIRO & PICO — Ghost Hacker — Ep.1,فتاة هاكر أخلاقية وفتى عبقري ينقذان المدينة. الحلقة 1 مجاناً!,شاهد الآن,anime / cybersecurity / family-tech interest; exclude under-18 direct targeting,~500
